Y,X,Rx
173.7,153.97,189
174.95,153.6,185
178.1,153,182
179,154.8,194
179.88,153.8,186
179.99,150,149
180.8,147.8,119
179.47,145.55,112
181.4,143.89,104
182.84,140.98,77
181.95,141,78
181.75,142,85
182,142.5,92
182.5,141,78
182.99,138.98,52
182.9,139.98,60
181.85,139.49,55
184,141.39,82
179.99,137.95,40
179,134.49,20
180.5,134,17
179.8,135.08,21
172.7,128.77,6
168.5,137.95,40
169.72,136.49,28
162.96,138.6,50
169.5,140.4,67
172.99,144.01,107
175,158.98,217
175,157.65,213
173.5,153,182
170.01,154.51,192
171.9,153.9,187
171,150.99,163
170.98,151.1,167
171,151.78,172
170,155,198
169.74,155.5,202
171.99,156.95,209
172.95,157.6,212
173.25,159.5,219
169.8,157,210
100.82,140,63
96.5,140.95,76
96.14,142,85
95.99,137.9,39
106.7,137.95,40
100,137.75,38
111.5,137.4,36
115.99,136.75,31
121.99,139,53
128.49,138.88,51
138,139.98,60
145,140.5,69
155.99,140.39,66
157,139.94,58
154,140.9,74
154.02,138,45
166.8,140.9,74
170.1,141.2,81
172,142.15,90
171.9,142,85
171,140,63
108,149.4,138
104.35,149,132
104.45,149.55,139
107,149.99,147
107.79,144.68,108
107,139.95,59
107.1,142.49,91
109,143.85,103
108.9,137.99,44
111.48,138,45
107.45,137.25,34
108.96,139,53
108.99,137.95,40
113,135.54,25
112.4,135.94,26
111.49,136.89,32
109,132.55,12
109.4,133.9,16
112.76,137,33
114,138.49,49
110,139.75,56
105.99,139.99,62
97.89,159.49,218
99,158.5,216
99.9,156,203
100.05,156.9,208
100.45,156.5,205
102,154.6,193
103,151,164
104,149.25,137
104.75,148,121
106,145.05,111
106.5,148.25,128
107.9,150,149
108.2,149.89,142
106.66,150.5,158
107.55,148,121
107.1,151,164
107,150.8,160
101.99,149.99,147
102.9,151.5,170
103.19,152.9,180
103.98,152.2,177
104.5,153.25,184
104.51,154.9,196
104.9,153.94,188
106.98,154.84,195
109.49,155,198
108.1,158,215
112,157.5,211
113,155,198
118.95,154.99,197
117.35,156.84,207
112.3,156.7,206
114,146.5,114
114.97,148,121
115.5,151,164
114.9,150,149
115.39,150.9,162
109.23,150.1,157
110.49,150,149
111.74,148,121
112.8,150,149
113,151.95,173
112.7,151.95,173
112.05,151.1,167
112.7,152.99,181
112.25,149.9,143
112,149.94,146
111.45,149.75,141
109.9,147.5,118
106.99,149,132
105.5,150,149
105.9,150.85,161
104.9,152.85,179
103.4,152.5,178
126.89,152,175
128.5,150,149
127.3,134.25,19
125.9,136,27
121,137.25,34
118.98,133,13
119.4,132.5,11
119.65,135.5,22
120,136.49,28
121.92,133.4,14
122.5,127.16,4
121.98,121.5,2
122.9,120.97,1
121.15,126,3
117.55,128.5,5
120.98,132.01,10
125.02,138,45
124.24,143.74,102
119.99,147.24,117
120.5,148,121
123.5,140.75,72
124.7,139.9,57
124.9,136.6,30
125.98,138,45
125.99,140.75,72
129.95,143.33,99
129.79,143.01,98
129,144,106
127.35,142.5,92
129.97,143.5,100
130.49,140.5,69
132,135.5,22
127,137.46,37
124.68,131.49,7
126.19,131.5,8
126.5,133.89,15
129.5,135.5,22
113.51,134,17
117.95,132,9
120,146.88,115
123,149.9,143
123.49,148,121
123.99,149,132
123.51,140.5,69
123.29,141,78
123.68,142,85
123.9,140,63
123.9,141.5,83
123,142,85
123.99,146.88,115
124.48,149.9,143
123.5,148,121
123.99,149,132
123.51,150.5,158
123.29,147.95,120
123.68,143.72,101
123.9,144.99,110
123,143,95
123.99,140.4,67
124.48,142.5,92
120.99,164.31,220
119.9,157.8,214
119.3,155,198
122.49,154,190
122.5,152,175
122.25,151.25,169
122.7,148.99,131
116.9,151.5,170
115.14,156,203
117.24,154,190
118.39,149,132
118.55,149.7,140
112.85,150,149
114.9,148.85,129
114.6,148.9,130
115,143.9,105
114.4,141.9,84
108,143,95
127.49,144.97,109
124.5,145.86,113
126.4,143,95
127.4,167.9,222
127.5,170.49,227
127.25,172.5,229
127.99,170,226
130.5,165.99,221
130.24,169.97,225
129.8,178,235
131,173.97,231
131.25,175,234
129.5,174,233
129.5,173.98,232
127.85,172,228
128.15,168.99,223
125.8,169,224
725.9,173.9,230
324.89,777.99,239
325.05,372,236
423,575.5,238
422,471.66,237
