Y,X,Rx
169.4,152.01,199
168.9,152.03,200
173.25,150.32,190
174.9,151.32,195
177.16,148,167
175.4,147.75,162
177.26,145,129
177.25,141.65,117
174.35,139.68,105
176.05,139.1,98
180.1,137.96,81
179.35,139,93
179.3,139.5,103
178.52,137.61,80
177.88,135.65,53
180,136.08,57
178.6,136,54
173.25,136.3,58
174.01,133.48,41
170.1,129,16
172,128.61,13
173,127.5,9
163.11,124.9,6
160.5,132.9,33
153,128.99,15
155.5,133.26,38
155.5,136.75,67
162.13,142.12,119
166.5,149.6,184
172.51,149.62,185
170,150,187
166.25,150.02,189
165.5,148,167
166.12,145.12,136
167.12,145.05,134
167,147.26,160
166.01,148,167
166,149.8,186
163,153.99,208
165,155.75,216
168.01,155.06,215
169,152.98,204
166.06,136.4,60
165.11,137.07,69
94,137.5,73
92,136,54
88.16,135.25,51
87.5,136.4,60
92.39,135.02,49
99.88,133.1,36
103.5,134.5,45
104.07,133.51,42
112.26,136.6,65
121.36,138.5,90
131.2,138,83
136.05,137.5,73
148.01,137.99,82
152.5,136.55,63
143,137.5,73
148.27,138.75,92
157,139.9,106
165.56,139.1,98
168.15,136.39,59
166.5,145.5,138
167.88,145.52,142
104,145.5,138
102.5,144,123
100.71,139.5,103
103.5,137.18,71
105.5,137.5,73
102.5,136.5,62
103.5,135,47
104.01,132.51,31
105,134.1,44
101,133.1,36
103.1,133.28,39
105.5,133.3,40
106.11,131.5,26
105.51,130,19
107.5,130.02,20
107.47,131.6,27
104.75,132,28
104.55,135.14,50
106,136.05,56
108,137.5,73
101,157.5,218
98.61,154.35,212
95.01,152,197
96.17,151.25,194
98.5,153.02,206
98.71,148.5,175
99,147.3,161
98.8,145.5,138
101.1,141.03,116
103,143.02,121
103.1,143.48,122
104.04,146.5,156
104.06,146,145
104.7,145,129
104.01,145.03,133
104.51,145.83,144
105.1,145,129
105.5,144,123
100.25,147.9,165
99.12,149.05,179
101.5,151,192
101.6,151.02,193
102.5,152.57,203
102.5,152,197
102,152.5,201
103.56,152.5,201
105.25,154.01,210
106.26,154.6,213
106.5,153,205
109.25,153.95,207
111.51,154,209
111.5,154.01,210
108.5,144.11,125
112.52,144.97,128
112.8,145.21,137
113,148.05,172
110,148.17,173
106.5,148.5,175
107,147.76,163
105.7,146.8,157
109.2,145.6,143
110.7,149,178
111.5,149.5,182
111,147,158
110.52,146.2,151
110.5,148,167
110.15,147,158
109,146,145
106.3,146.35,155
104.35,148.25,174
103.35,148,167
103.49,149.49,181
101.46,149.25,180
101,147.95,166
123.5,129,16
125.25,132,28
124.3,132.25,30
120.01,127.02,8
118.5,130.13,21
117.5,131,23
117.1,133,35
117.65,128.25,12
117.65,120.49,3
118.1,118.01,1
120.3,119,2
120.03,122,4
120,122.55,5
124.1,126.58,7
124.25,132.8,32
126.5,136.62,66
126.5,142.06,118
126,145.5,138
125.5,138,83
127,135,47
128,133.99,43
120.03,134.51,46
120,136.55,63
124.1,138.6,91
124.25,140,108
126.5,140.55,113
126.5,139.99,107
126,139.4,102
125.5,135.25,51
127,132.99,34
128,130.99,22
125.03,128.2,11
120,128.75,14
124.1,129.25,18
124.25,128.15,10
126.5,131,23
126.5,131.01,25
126,136.95,68
125.5,137.5,73
127,137.5,73
128,138.01,87
121.01,139,93
121.6,139.01,96
121.7,138.2,89
121.51,138.02,88
122.05,138,83
120.2,139.16,101
121.15,141,114
121.06,144.51,127
120.5,145.1,135
122,146.01,148
119.5,146.2,151
117.5,142.9,120
116.25,140.31,112
114.85,141,114
114.55,137.23,72
116.5,138,83
114.5,139.1,98
117.11,156,217
118.25,155,214
119.8,151.99,196
119.5,150,187
118.11,149.51,183
116.75,146.01,148
118.55,146.25,154
120,147.8,164
119.76,150.57,191
117,148.5,175
115,146.22,153
112.1,146,145
112,145.01,132
116.02,146.07,150
116.51,144.29,126
109,140.15,111
110.9,140,108
111.6,139.01,96
110.98,140.1,110
107.99,139,93
106.01,137.14,70
123.6,163.13,220
122.65,167,228
120,167,228
125.5,165,224
126,162.5,219
125.02,164.7,223
125.15,167.5,231
127,167,228
128.2,170,234
127.52,170,234
128.57,169,232
127.41,166.11,227
125,163.51,221
125.65,165,224
125.5,164.26,222
125.5,165,224
124.05,169.06,233
723.5,771,239
322.2,365.25,236
422,468,237
420.5,564.01,238
